* Block Type = 384-Well Block
* Calibration Background is expired  = No
* Calibration Background performed on = 04-07-2021
* Calibration Pure Dye CY5 is expired = Yes
* Calibration Pure Dye CY5 performed on = 10-23-2020
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-07-2021
* Calibration Pure Dye HEX is expired = Yes
* Calibration Pure Dye HEX performed on = 06-01-2020
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-07-2021
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-07-2021
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-07-2021
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-07-2021
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-07-2021
* Calibration RNaseP is expired  = No
* Calibration RNaseP performed on = 04-07-2021
* Calibration ROI is expired  = No
* Calibration ROI performed on = 04-07-2021
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 04-07-2021
* Chemistry = OTHER
* Date Created = 
* Experiment Barcode = 
* Experiment Comment = 
* Experiment File Name = E:\MeltCurve4sConditions.eds
* Experiment Name = MeltCurve4sConditions
* Experiment Run End Time = 2021-05-31 20:22:26 PM CEST
* Experiment Type = Melt Curve
* Instrument Name = 278860619
* Instrument Serial Number = 278860619
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* User Name = Carles Torner

[Melt Curve Raw Data]
Well	Well Position	Reading	Temperature	Fluorescence	Derivative
15	A15	137	65.729	41,544.150	22,482.703
15	A15	138	66.029	41,155.766	22,406.883
15	A15	139	66.328	41,099.457	22,401.795
15	A15	140	66.628	40,257.363	22,461.127
15	A15	141	66.927	40,104.750	22,546.205
15	A15	142	67.227	39,190.600	22,604.316
15	A15	143	67.526	38,978.720	22,593.607
15	A15	144	67.826	38,643.703	22,491.229
15	A15	145	68.125	37,848.570	22,283.566
15	A15	146	68.425	37,756.530	21,953.910
15	A15	147	68.724	37,004.760	21,488.562
15	A15	148	69.024	36,795.950	20,901.648
15	A15	149	69.323	35,995.310	20,259.950
15	A15	150	69.623	35,925.720	19,678.783
15	A15	151	69.922	35,322.617	19,278.357
15	A15	152	70.221	35,319.793	19,120.690
15	A15	153	70.521	34,935.890	19,167.630
15	A15	154	70.820	34,477.080	19,293.780
15	A15	155	71.120	33,763.820	19,348.479
15	A15	156	71.419	33,402.910	19,227.328
15	A15	157	71.719	33,187.414	18,909.420
15	A15	158	72.018	32,796.863	18,450.318
15	A15	159	72.318	32,383.541	17,947.688
15	A15	160	72.617	31,810.492	17,504.900
15	A15	161	72.917	31,771.379	17,199.574
15	A15	162	73.216	31,413.512	17,057.885
15	A15	163	73.516	31,106.260	17,041.781
15	A15	164	73.815	30,799.002	17,064.857
15	A15	165	74.115	30,192.625	17,037.610
15	A15	166	74.414	29,890.992	16,920.550
15	A15	167	74.714	29,487.957	16,748.547
15	A15	168	75.013	29,388.162	16,607.734
15	A15	169	75.313	28,900.129	16,575.998
15	A15	170	75.612	28,685.195	16,665.098
15	A15	171	75.912	28,401.744	16,800.889
15	A15	172	76.211	28,044.447	16,856.324
15	A15	173	76.511	27,503.010	16,720.557
15	A15	174	76.810	26,887.363	16,363.154
15	A15	175	77.110	26,911.645	15,854.350
15	A15	176	77.409	26,582.566	15,331.312
15	A15	177	77.708	26,358.500	14,932.917
15	A15	178	78.008	25,897.960	14,740.126
15	A15	179	78.307	25,764.550	14,749.955
15	A15	180	78.607	25,527.080	14,885.753
15	A15	181	78.906	25,200.955	15,033.974
15	A15	182	79.206	24,648.346	15,089.207
15	A15	183	79.505	24,367.451	14,990.298
15	A15	184	79.805	24,190.494	14,735.243
15	A15	185	80.104	23,805.960	14,374.218
15	A15	186	80.404	23,641.780	13,990.458
15	A15	187	80.703	23,116.390	13,677.924
15	A15	188	81.003	23,009.865	13,515.131
15	A15	189	81.302	22,819.248	13,535.305
15	A15	190	81.602	22,688.970	13,703.191
15	A15	191	81.901	22,237.385	13,919.134
15	A15	192	82.201	21,918.096	14,060.463
15	A15	193	82.500	21,524.736	14,043.546
15	A15	194	82.800	21,219.100	13,869.290
15	A15	195	83.099	20,954.451	13,622.212
15	A15	196	83.399	20,826.434	13,420.373
15	A15	197	83.698	20,534.690	13,346.016
15	A15	198	83.998	20,321.033	13,396.587
15	A15	199	84.297	20,089.111	13,483.994
15	A15	200	84.597	19,674.668	13,481.191
15	A15	201	84.896	19,307.377	13,289.702
15	A15	202	85.195	18,971.752	12,892.419
15	A15	203	85.495	18,837.955	12,365.957
15	A15	204	85.794	18,488.744	11,850.065
15	A15	205	86.094	18,242.621	11,490.757
15	A15	206	86.393	18,084.781	11,382.708
15	A15	207	86.693	18,071.560	11,533.449
